[2021-03-03 22:05:26] producer.DEBUG: Running producer... [] []
[2021-03-03 22:05:26] producer.DEBUG: Producing: Message 0 [] []
[2021-03-03 22:05:26] producer.DEBUG: Producing: Message 1 [] []
[2021-03-03 22:05:26] producer.DEBUG: Producing: Message 2 [] []
[2021-03-03 22:05:26] producer.DEBUG: Producing: Message 3 [] []
[2021-03-03 22:05:26] producer.DEBUG: Producing: Message 4 [] []
[2021-03-03 22:05:26] producer.DEBUG: Producing: Message 5 [] []
[2021-03-03 22:05:26] producer.DEBUG: Producing: Message 6 [] []
[2021-03-03 22:05:26] producer.DEBUG: Producing: Message 7 [] []
[2021-03-03 22:05:26] producer.DEBUG: Producing: Message 8 [] []
[2021-03-03 22:05:26] producer.DEBUG: Producing: Message 9 [] []
[2021-03-03 22:06:11] producer.DEBUG: Running producer... [] []
[2021-03-03 22:06:11] producer.DEBUG: Producing: Message 0 [] []
[2021-03-03 22:06:11] producer.DEBUG: Producing: Message 1 [] []
[2021-03-03 22:06:11] producer.DEBUG: Producing: Message 2 [] []
[2021-03-03 22:06:11] producer.DEBUG: Producing: Message 3 [] []
[2021-03-03 22:06:11] producer.DEBUG: Producing: Message 4 [] []
[2021-03-03 22:06:11] producer.DEBUG: Producing: Message 5 [] []
[2021-03-03 22:06:11] producer.DEBUG: Producing: Message 6 [] []
[2021-03-03 22:06:11] producer.DEBUG: Producing: Message 7 [] []
[2021-03-03 22:06:11] producer.DEBUG: Producing: Message 8 [] []
[2021-03-03 22:06:11] producer.DEBUG: Producing: Message 9 [] []
[2021-03-03 22:06:51] producer.DEBUG: Running producer... [] []
[2021-03-03 22:06:51] producer.DEBUG: Producing: Message 0 [] []
[2021-03-03 22:06:51] producer.DEBUG: Producing: Message 1 [] []
[2021-03-03 22:06:51] producer.DEBUG: Producing: Message 2 [] []
[2021-03-03 22:06:51] producer.DEBUG: Producing: Message 3 [] []
[2021-03-03 22:06:51] producer.DEBUG: Producing: Message 4 [] []
[2021-03-03 22:06:51] producer.DEBUG: Producing: Message 5 [] []
[2021-03-03 22:06:51] producer.DEBUG: Producing: Message 6 [] []
[2021-03-03 22:06:51] producer.DEBUG: Producing: Message 7 [] []
[2021-03-03 22:06:51] producer.DEBUG: Producing: Message 8 [] []
[2021-03-03 22:06:51] producer.DEBUG: Producing: Message 9 [] []
